Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
0,0.0722142978424,0.91554,0.0684531780145,0.9204
1,0.053880626469,0.93754,0.0525154309454,0.9394
2,0.04530900639,0.94856,0.045881650676,0.9464
3,0.0392223830461,0.95612,0.0412889265643,0.9532
4,0.0339723787903,0.9633,0.0374550327168,0.9572
5,0.029869101342,0.9683,0.0340392444655,0.9614
6,0.0272355602083,0.97184,0.0320814500876,0.9638
7,0.0247272329354,0.9746,0.0303298872516,0.9649
8,0.0227769363727,0.97738,0.0293002735486,0.967
9,0.021223515914,0.9785,0.0280745436318,0.9676
10,0.0201677436686,0.98038,0.0277893979204,0.9697
11,0.0179107212054,0.9822,0.026101579716,0.9707
12,0.0168873373854,0.98374,0.0252195939101,0.9718
13,0.016447687513,0.98444,0.0253249773022,0.9717
14,0.0154050304501,0.9854,0.0245670038108,0.9726
15,0.0142485044168,0.98638,0.0237629391139,0.9735
16,0.014115819887,0.9867,0.0233123000892,0.9731
17,0.0135075458593,0.98722,0.0235056878703,0.973
18,0.0128342985103,0.98794,0.0231242002801,0.9741
19,0.0118724543874,0.98882,0.0222142734,0.9751
20,0.0111647415533,0.98928,0.02240873301,0.9748
21,0.0114092675933,0.98944,0.022159039518,0.9762
22,0.01062387627,0.99036,0.0221744864544,0.9756
23,0.00983949745407,0.99054,0.0217086269346,0.9749
24,0.00982694337017,0.99084,0.0218404862534,0.9762
25,0.00920438702149,0.99116,0.0214413510469,0.9757
26,0.00889618406931,0.99148,0.0212943540684,0.9775
27,0.0084353883505,0.99188,0.0213514997495,0.9761
28,0.00816172436262,0.9922,0.0210161317689,0.9773
29,0.00779293149494,0.99248,0.02097694211,0.977
30,0.00804246992489,0.9925,0.0215681576429,0.9762
31,0.00722454106595,0.99284,0.0209630044161,0.9776
32,0.00741306218851,0.99302,0.0210471729349,0.9769
33,0.00679014122267,0.99284,0.0209846026308,0.9765
34,0.00661348189698,0.99322,0.0205329862849,0.9775
35,0.00656564640161,0.99326,0.0208866424843,0.9777
36,0.0063389496869,0.9933,0.020684640408,0.9775
37,0.00622282825832,0.99336,0.0205918032373,0.977
38,0.00617362569245,0.99372,0.0207348125155,0.977
39,0.00616408141629,0.99376,0.0206795949398,0.9768
40,0.00609604022233,0.99398,0.0208455324587,0.9758
41,0.00550801378081,0.9942,0.0205664397892,0.9777
42,0.00537382684524,0.99422,0.0205746289911,0.9768
43,0.00523485582648,0.99438,0.0204103607077,0.9766
44,0.00517555013263,0.99432,0.0204857970792,0.9778
45,0.00499452556672,0.9946,0.0202503241043,0.9778
46,0.00499882400005,0.9946,0.0206028174829,0.9772
47,0.00484400036062,0.99468,0.0207555758237,0.9772
48,0.00468054956616,0.99476,0.020631793481,0.9777
49,0.00469872845988,0.99478,0.0206375781135,0.978
50,0.004536663964,0.99492,0.0205304218427,0.9773
51,0.00450025683216,0.99484,0.0207585530301,0.9767
52,0.00436829438911,0.99498,0.0204686919129,0.9774
53,0.00432379686273,0.99518,0.020697662706,0.9772
54,0.00426818838748,0.99512,0.0207099553612,0.9772
55,0.00424836256119,0.99512,0.020919279061,0.977
56,0.00407007267225,0.99528,0.0205989868615,0.9771
57,0.00398869846678,0.9953,0.020564537768,0.9772
58,0.00392146232969,0.99536,0.0206484874051,0.9776
59,0.00381631584041,0.99542,0.0206761025765,0.9774
60,0.00376487453613,0.9955,0.0205002562234,0.9775
61,0.00387533977396,0.99548,0.0209036962375,0.9764
62,0.00370640588202,0.99558,0.0206256371661,0.9772
63,0.00364113111046,0.99556,0.0207814009326,0.9769
64,0.00354241133411,0.9956,0.0205092754112,0.9771
65,0.00351090153687,0.99562,0.020736737337,0.9773
66,0.00347924445508,0.99572,0.0207150027375,0.978
67,0.00343103392401,0.99568,0.020661028968,0.9782
68,0.00338329116925,0.99566,0.020583633944,0.9772
69,0.00341895973818,0.99572,0.020938404323,0.9777
70,0.0033143717752,0.99576,0.0206659153936,0.9782
71,0.0032817187193,0.99578,0.020721279152,0.9771
72,0.00322754176382,0.9958,0.0207281383935,0.9772
73,0.00322940719846,0.99588,0.0206707986468,0.9775
74,0.00319093682788,0.99584,0.020591715095,0.9776
75,0.0031636389853,0.99598,0.0205991211134,0.9775
76,0.00308932969032,0.99596,0.0205825057568,0.9778
77,0.00312311008706,0.99598,0.0206940566472,0.9777
78,0.00303561813846,0.996,0.0206458838694,0.9775
79,0.00301078445515,0.99602,0.0206526944896,0.9785
80,0.00298810132718,0.99602,0.0205974687602,0.9781
81,0.0029613221369,0.9961,0.0207358147643,0.9779
82,0.00294123212804,0.99606,0.0205810184753,0.9784
83,0.00291893229923,0.99612,0.0206283353068,0.978
84,0.00286281555009,0.99616,0.020677971878,0.9782
85,0.00284965703181,0.99616,0.0206934207985,0.9788
86,0.00282706368941,0.99616,0.0206911845798,0.9785
87,0.00280281862552,0.99616,0.0207447637256,0.9782
88,0.00277652897106,0.9962,0.0207406084225,0.9783
89,0.00277211001125,0.99618,0.0207050530917,0.9778
90,0.00272813749521,0.9962,0.0206541334899,0.9785
91,0.0027089812873,0.99622,0.0206698216148,0.978
92,0.00269118593258,0.99622,0.0207472416257,0.9784
93,0.00267669699478,0.99622,0.0207389259142,0.9782
94,0.00266161181072,0.99622,0.0207481636677,0.9783
95,0.0026425949464,0.99624,0.0207581845368,0.9784
96,0.00263364795995,0.99626,0.0207267161681,0.9787
97,0.00260977398842,0.99626,0.0206835735069,0.9786
98,0.00261854671449,0.99628,0.0207360963723,0.9785
99,0.00258669434145,0.99626,0.0206500846807,0.9788
100,0.0025596639294,0.99628,0.0206932828153,0.9786
101,0.0025462874344,0.99632,0.0207089867912,0.9783
102,0.00253872149163,0.99632,0.0207679461261,0.9786
103,0.00251575102187,0.99634,0.0206766005272,0.9785
104,0.00250458863451,0.99632,0.0207545402587,0.9783
105,0.00247902883656,0.99634,0.0207197589689,0.9784
106,0.00247632309113,0.99634,0.020672987856,0.9781
107,0.00246473021526,0.99636,0.0207205895236,0.9782
108,0.00245541138541,0.99636,0.0207004768287,0.9783
109,0.00246041135559,0.99642,0.0208190462918,0.9782
110,0.00241992710541,0.99642,0.0206667367502,0.9782
111,0.00242049277619,0.9965,0.0207272371861,0.9784
112,0.00239285586732,0.99648,0.0206314908114,0.9784
113,0.00238254823695,0.99648,0.0206505907777,0.9781
114,0.00236731871664,0.99648,0.0207061447646,0.9783
115,0.00234990581525,0.99656,0.0206855481808,0.9781
116,0.00233571849357,0.99654,0.0206166625309,0.9783
117,0.00232246590428,0.99656,0.0205901698918,0.9785
118,0.00231180065111,0.99656,0.0205922323195,0.9783
119,0.00231031441013,0.9966,0.0207342816603,0.9785
120,0.00230207176312,0.9966,0.0206926158193,0.9782
121,0.00228032050788,0.99662,0.0206461358142,0.978
122,0.00227294805171,0.99662,0.0207372491196,0.9782
123,0.0022577872223,0.99664,0.0207113159695,0.9786
124,0.00224687961898,0.99662,0.0206794661721,0.9783
125,0.00222953472978,0.99664,0.0206402585898,0.978
126,0.00223462506709,0.99668,0.0206201847874,0.9787
127,0.00225316949914,0.99664,0.0208543613039,0.978
128,0.00221221655182,0.9967,0.0206031260897,0.9784
129,0.00220802637504,0.9967,0.020713262214,0.9779
130,0.00219297609302,0.9967,0.020648081175,0.9788
131,0.0021820219246,0.9967,0.0206717575807,0.978
132,0.00217523114379,0.99672,0.0205827434867,0.9782
133,0.00216179242462,0.99674,0.0206198012877,0.9782
134,0.00216041681641,0.99674,0.0205931636694,0.9783
135,0.00215383338242,0.99676,0.0206303893557,0.978
136,0.00214427431118,0.99676,0.0205697945304,0.978
137,0.00213964114891,0.99678,0.0206306280986,0.9781
138,0.00213728971985,0.99678,0.0206353527757,0.9781
139,0.0021318549684,0.99674,0.0206075554307,0.9784
140,0.0021205777509,0.99678,0.0206365523915,0.9784
141,0.0021155940518,0.99678,0.0207412878412,0.9783
142,0.00210074746845,0.99678,0.0206112297877,0.9786
143,0.00210198044184,0.9968,0.0207263313883,0.9782
144,0.00209446040925,0.99678,0.0206353147078,0.9784
145,0.00208792709643,0.99678,0.0206113062941,0.9781
146,0.00207838709184,0.99678,0.0206343991628,0.9784
147,0.00208056562863,0.99678,0.0207197526381,0.978
148,0.00207023966047,0.99678,0.0206456639399,0.9782
149,0.00206574034602,0.99678,0.0206881936958,0.9783
150,0.00205781290697,0.99678,0.0205878896051,0.9785
151,0.002051770712,0.99678,0.0206199282205,0.9784
152,0.00204732197325,0.99678,0.0205785700971,0.9783
153,0.00204183696331,0.9968,0.0206020452306,0.9782
154,0.00203338952172,0.9968,0.0206124472486,0.9782
155,0.00202950917625,0.9968,0.02062420914,0.978
156,0.00202479459372,0.9968,0.0205970767273,0.9784
157,0.00202277307165,0.99682,0.0206574316723,0.9781
158,0.0020204234605,0.99682,0.0206207211462,0.9783
159,0.00201368456954,0.99684,0.0206558980708,0.9783
160,0.00200897736375,0.99684,0.0206108573857,0.9784
161,0.00200264134989,0.99684,0.0206456375994,0.9786
162,0.00200024672091,0.99684,0.0206551136805,0.9785
163,0.00199710167801,0.99684,0.0206866650707,0.9784
164,0.00199145763549,0.99684,0.0206873808018,0.9785
165,0.00198377755021,0.99684,0.0206185811056,0.9784
166,0.00198114447757,0.99686,0.0207234200429,0.9783
167,0.00197757974584,0.99686,0.0206322106261,0.9785
168,0.00197533445662,0.99684,0.0206670217901,0.9784
169,0.0019682938615,0.99686,0.0206975726969,0.9781
170,0.00196356318363,0.99686,0.0207017458977,0.9778
171,0.00195922647606,0.99686,0.0207710887931,0.9781
172,0.0019551980383,0.99686,0.020749819024,0.9785
173,0.00195130926871,0.99686,0.0207438334477,0.9785
174,0.00194973509939,0.99686,0.0207513880133,0.9783
175,0.00194579051969,0.99686,0.0207458567707,0.9781
176,0.00194336545389,0.99686,0.020751315991,0.978
177,0.00193941130557,0.99686,0.0206970386758,0.9782
178,0.00193771146948,0.9969,0.0207257151551,0.9782
179,0.00193456979084,0.9969,0.0207075072435,0.9783
180,0.00193061852454,0.9969,0.0207345358786,0.9781
181,0.00192869287836,0.9969,0.0207825742444,0.9784
182,0.00192216728717,0.99694,0.0207527685281,0.9781
183,0.00191515646816,0.99696,0.020784723959,0.9781
184,0.00191366887624,0.99696,0.0208577233825,0.9775
185,0.00190373646564,0.99698,0.0207653374525,0.978
186,0.00190020490836,0.997,0.0207670402421,0.9778
187,0.00189677990648,0.997,0.0207899964521,0.9781
188,0.00189182630354,0.997,0.0207730242673,0.9779
189,0.0018886765387,0.99704,0.0208299670862,0.9775
190,0.00188782374361,0.99702,0.0208419952129,0.9781
191,0.00188256914137,0.99702,0.0208508072106,0.978
192,0.00187186803874,0.99704,0.0208562465291,0.9773
