Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
123,0.055729091,0.979,0.1734386334,0.97196
124,0.055824597,0.979108,0.1733189436,0.97236
125,0.055404613,0.979572,0.172846739,0.9722
126,0.0558625776,0.97888,0.1731920032,0.97204
127,0.0551506186,0.97954,0.172202422,0.9726
128,0.0555526702,0.978848,0.1723872832,0.97202
129,0.055190215,0.979668,0.1720403613,0.97246
130,0.0550387856,0.979392,0.171597539,0.97236
131,0.0546328281,0.979708,0.17100193,0.97252
132,0.0547241411,0.97972,0.1709049236,0.97308
133,0.0550361679,0.979692,0.1712782502,0.9722
134,0.0546741833,0.979304,0.170495768,0.973
135,0.0545997347,0.979928,0.1702690022,0.97274
136,0.0542278556,0.979904,0.1697069462,0.97252
137,0.0546821935,0.979512,0.1700063441,0.9721
138,0.0544104561,0.979472,0.1693887139,0.97278
139,0.0541411851,0.98024,0.1691580684,0.97282
140,0.054252617,0.979748,0.1691625546,0.97222
141,0.0537168051,0.980436,0.1683099246,0.97294
142,0.0538468505,0.980012,0.1683757259,0.97296
143,0.05442061,0.979728,0.1687246082,0.97262
144,0.0532735254,0.98086,0.1674340252,0.97336
145,0.0541825329,0.98,0.1681845547,0.97244
146,0.0530987068,0.980516,0.1668642066,0.97374
147,0.0532107054,0.980312,0.1667454236,0.9729
148,0.0528763046,0.980396,0.1663278935,0.9727
149,0.0533287104,0.980208,0.1666471745,0.97292
150,0.0530878091,0.980704,0.1662064209,0.97326
151,0.0526157157,0.980828,0.1655474958,0.97352
152,0.0528188218,0.980532,0.1654486294,0.973
153,0.0526366842,0.98078,0.1650656307,0.97352
154,0.0523371627,0.980812,0.1645911362,0.97306
155,0.0522899906,0.980892,0.1646182115,0.97356
156,0.0522212052,0.981288,0.16429131,0.97362
157,0.0520143819,0.981188,0.1637585613,0.97388
158,0.0517679938,0.981168,0.1634252452,0.97298
159,0.0518312619,0.98128,0.1633923586,0.97368
160,0.0514148683,0.981324,0.1627125016,0.97348
161,0.0523840031,0.980232,0.1633439907,0.97258
162,0.0518631848,0.981112,0.1625464707,0.97334
163,0.051605821,0.981228,0.1623481209,0.97282
164,0.0511584326,0.981984,0.1618778938,0.97446
165,0.051357104,0.981464,0.1617093609,0.97398
166,0.0510885737,0.98174,0.1613345338,0.97376
167,0.0511593789,0.981544,0.1611160291,0.9735
168,0.050685746,0.982132,0.16054759,0.9742
169,0.0507048136,0.982016,0.160475635,0.9739
170,0.0504971254,0.981912,0.1599198621,0.97392
171,0.0504207709,0.982208,0.159829992,0.97386
172,0.0504393422,0.981844,0.1597380495,0.9735
173,0.049909895,0.982368,0.1588382923,0.97436
174,0.0501663478,0.982264,0.158949274,0.97452
175,0.0500066343,0.982176,0.1585867343,0.97442
176,0.0499426594,0.982096,0.1583616465,0.9742
177,0.0498677999,0.982476,0.1581787596,0.9742
178,0.0502394965,0.982036,0.1583977226,0.97344
179,0.0495227926,0.98266,0.1574992581,0.97428
180,0.0496767647,0.982404,0.1572111322,0.97436
181,0.0492165372,0.98258,0.1565495387,0.97438
182,0.0493680821,0.982352,0.1567248063,0.97448
183,0.0491645487,0.98256,0.156230351,0.97412
184,0.0490409339,0.982684,0.1560975499,0.97392
185,0.048405501,0.9831,0.1551818789,0.9749
186,0.0484992283,0.98312,0.1549796714,0.97508
187,0.048361809,0.983124,0.154754855,0.9746
188,0.0483855661,0.982904,0.1544092323,0.97458
189,0.0484597935,0.982976,0.154093501,0.97456
190,0.0485349102,0.983112,0.1543199141,0.97426
191,0.0480165446,0.983216,0.1534427466,0.97484
192,0.0477043843,0.983648,0.1531121047,0.97504
193,0.047768155,0.983524,0.1530176319,0.97472
194,0.0476353909,0.98366,0.1525304181,0.9747
195,0.0470692043,0.983932,0.1517263396,0.97576
196,0.0474246851,0.983484,0.1519190088,0.9747
197,0.046992419,0.984104,0.1512667103,0.9758
198,0.0474050724,0.983536,0.1516876116,0.97506
199,0.0468745843,0.983904,0.1508099194,0.9755
200,0.0471062526,0.983684,0.1511195772,0.9749
201,0.0465724588,0.984224,0.1502200659,0.97548
202,0.0466667449,0.98414,0.1499474178,0.97538
203,0.0467157056,0.983892,0.1497149647,0.9753
204,0.0472769127,0.983844,0.1501683853,0.97528
205,0.0463956417,0.9844,0.1491715326,0.9753
206,0.0468418304,0.98386,0.1494904676,0.975
207,0.0462052788,0.984048,0.1484746195,0.9751
208,0.0459215476,0.984344,0.1478856766,0.97536
209,0.0458465337,0.984524,0.1477428544,0.97562
210,0.0458053793,0.98412,0.1474078727,0.97532
211,0.0450296964,0.985076,0.1465853094,0.97594
212,0.045522837,0.984944,0.1470062974,0.97552
213,0.0456228738,0.98438,0.1464662977,0.9756
214,0.0449415371,0.985092,0.1458262932,0.97574
215,0.0449530097,0.98492,0.1454771607,0.9759
216,0.0447422338,0.985132,0.1451886365,0.97556
217,0.0447741216,0.985028,0.1449394788,0.97594
218,0.0447198079,0.985084,0.1447724603,0.9757
219,0.0442870089,0.985376,0.1440980498,0.97576
220,0.0442321114,0.985096,0.1437614498,0.97564
221,0.0442716947,0.985136,0.1437304813,0.97578
222,0.0438020045,0.98556,0.142922662,0.97626
223,0.0437270798,0.98542,0.1425590163,0.97612
224,0.0437045113,0.985512,0.1423999251,0.97632
225,0.043777488,0.985616,0.1423534511,0.97608
226,0.043415768,0.985812,0.1416634831,0.97674
227,0.04317855,0.985672,0.141191651,0.97654
228,0.0435360647,0.985356,0.141394047,0.97582
229,0.0426475926,0.986212,0.1401734163,0.9768
230,0.043039541,0.986212,0.1404222179,0.97598
