Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
123,0.0025629157,0.997908,0.0207782756,0.9814
124,0.002539695,0.99792,0.0205810302,0.9815
125,0.0024671361,0.997916,0.0204230727,0.98128
126,0.0024224029,0.997928,0.0203440345,0.98176
127,0.0023932215,0.997948,0.020258007,0.98182
128,0.0023400991,0.997968,0.020174057,0.98142
129,0.0022977849,0.997968,0.0200443143,0.9816
130,0.0022738034,0.997984,0.0200398101,0.98162
131,0.0022261783,0.997992,0.0199109645,0.98162
132,0.0021882319,0.998024,0.0197425976,0.98164
133,0.0021555405,0.998028,0.0196888964,0.98168
134,0.0021272085,0.998032,0.0196919448,0.98152
135,0.0020889538,0.998032,0.0196001618,0.98166
136,0.0020683213,0.998044,0.0195392383,0.98172
137,0.0020416386,0.998044,0.0195045937,0.98158
138,0.0020079968,0.998064,0.0193931959,0.98136
139,0.00197776,0.998064,0.0193119445,0.98144
140,0.0019443816,0.998092,0.0192240854,0.98156
141,0.0019138019,0.99808,0.0191846309,0.98148
142,0.0019120673,0.998108,0.0192109079,0.9816
143,0.0018666881,0.9981,0.0191318996,0.98154
144,0.0018526932,0.998124,0.0190958225,0.98144
145,0.0018233236,0.998124,0.0190090293,0.98152
146,0.001799618,0.998128,0.0189527519,0.98168
147,0.0017823322,0.998132,0.0189309772,0.98146
148,0.00175881,0.998148,0.0188819545,0.98144
149,0.0017381682,0.998144,0.0188611014,0.98158
150,0.0017153106,0.998152,0.0187857996,0.9816
151,0.0017062695,0.998164,0.0187586983,0.98162
152,0.0016790195,0.998156,0.0187222369,0.98166
153,0.0016606419,0.998164,0.0186913916,0.98182
154,0.0016509376,0.998168,0.0187031861,0.98168
155,0.0016302082,0.998184,0.0186286106,0.9815
156,0.0016166457,0.998188,0.0185767787,0.98146
157,0.0016027747,0.998184,0.0185920095,0.98158
158,0.0015862635,0.998204,0.0185689014,0.9817
159,0.0015780918,0.998208,0.0185640298,0.98166
160,0.0015612209,0.998212,0.0185235596,0.98156
161,0.0015427217,0.99822,0.0185067277,0.98144
162,0.0015303858,0.99822,0.0185271456,0.9815
163,0.0015164357,0.998232,0.0184693138,0.9816
164,0.0015046167,0.998244,0.0184847332,0.98152
165,0.0014958858,0.998248,0.0184287702,0.98138
166,0.0014799271,0.998248,0.0184168542,0.98162
167,0.0014704245,0.998252,0.0184044041,0.98156
168,0.0014574392,0.998252,0.0184282104,0.98156
169,0.0014448071,0.99826,0.0183676968,0.9816
170,0.0014346814,0.99826,0.0183573195,0.9814
171,0.0014234622,0.998268,0.018339393,0.98152
172,0.0014123878,0.998276,0.0183453794,0.98148
173,0.0014033358,0.998276,0.0183936615,0.98136
174,0.0013917082,0.99828,0.0183178263,0.98142
175,0.0013873,0.998284,0.0183407237,0.98146
176,0.0013817802,0.998284,0.0183841086,0.98136
177,0.0013693545,0.998296,0.0182775358,0.9816
178,0.0013600531,0.998296,0.0183100852,0.98148
179,0.0013491871,0.998292,0.0182899634,0.98158
180,0.0013399742,0.9983,0.0182804132,0.98152
181,0.0013318103,0.998308,0.0182218267,0.98152
182,0.0013250819,0.998312,0.0182691942,0.98148
183,0.0013194405,0.998312,0.0182870847,0.98132
184,0.0013086809,0.998316,0.0182535986,0.9813
185,0.0013023302,0.998324,0.0182655527,0.98134
186,0.0012964688,0.998328,0.0182627858,0.98144
187,0.0012885563,0.998328,0.0182619351,0.98124
188,0.0012811649,0.99834,0.0182584867,0.98146
189,0.0012756302,0.998336,0.0182783942,0.98138
190,0.001267513,0.998348,0.0182557606,0.98134
191,0.0012603134,0.998356,0.0182780702,0.98146
192,0.0012526567,0.99836,0.0182530072,0.98146
193,0.0012474861,0.99836,0.0182278216,0.98142
194,0.0012410475,0.998364,0.018235835,0.9815
195,0.0012348687,0.998368,0.018241628,0.98146
196,0.0012282323,0.99838,0.0182288783,0.98152
197,0.0012276983,0.99838,0.0182300339,0.98138
198,0.0012190948,0.998392,0.0182249072,0.9814
199,0.0012130965,0.998392,0.0182267859,0.98126
200,0.0012090594,0.998392,0.0182728472,0.98142
201,0.0012024627,0.998396,0.0182252181,0.9814
202,0.0011968734,0.9984,0.0182424115,0.98142
203,0.0011905087,0.998396,0.0182174676,0.98126
204,0.0011887239,0.9984,0.0182097771,0.9816
205,0.0011822717,0.9984,0.0182392055,0.98132
206,0.0011775542,0.9984,0.0182367008,0.98126
207,0.0011743493,0.998412,0.0182099437,0.98136
208,0.0011709757,0.998412,0.0182313931,0.98116
209,0.0011665831,0.998416,0.0182307529,0.98116
210,0.0011622721,0.99842,0.0182078637,0.9813
211,0.0011591607,0.99842,0.0182282671,0.98154
212,0.0011542,0.998424,0.0182148329,0.98126
213,0.0011503989,0.998424,0.0182319431,0.98122
214,0.0011476346,0.998424,0.018254229,0.9814
215,0.0011433522,0.998428,0.018224474,0.9813
216,0.0011410754,0.998432,0.0182397666,0.98126
217,0.0011348088,0.998432,0.0182269077,0.98132
218,0.001134864,0.998432,0.0182115496,0.9814
219,0.001128741,0.998436,0.0182388265,0.9814
220,0.001126742,0.998436,0.0182143656,0.9812
221,0.0011234127,0.998436,0.0182355231,0.98138
222,0.0011240784,0.99844,0.0182560367,0.9814
223,0.0011175445,0.998436,0.0182322806,0.9814
224,0.0011148148,0.998436,0.0182396449,0.98142
225,0.0011131027,0.99844,0.0182600434,0.98122
226,0.0011100329,0.99844,0.0182449089,0.9812
227,0.0011070694,0.99844,0.0182710938,0.98132
228,0.0011041241,0.99844,0.0182657077,0.98154
229,0.0011005531,0.998448,0.0182583254,0.98134
230,0.0010981966,0.998452,0.0182412768,0.98134
231,0.0010958772,0.998452,0.0182394837,0.98134
232,0.001094884,0.998452,0.0182843711,0.98134
233,0.001091265,0.998448,0.0182851382,0.98138
234,0.0010883039,0.998456,0.0182755653,0.9813
235,0.0010863927,0.998456,0.0182685139,0.98146
236,0.001084213,0.998456,0.018266488,0.98122
237,0.0010827329,0.998456,0.0182612683,0.98128
238,0.0010813343,0.998456,0.0182587836,0.98134
239,0.0010793225,0.998456,0.0182719021,0.98124
240,0.0010771808,0.998456,0.0182769686,0.9812
241,0.0010750718,0.998456,0.0182586256,0.98128
242,0.0010733781,0.998456,0.0182666074,0.98138
243,0.0010707271,0.998456,0.0182463353,0.98128
244,0.0010685541,0.99846,0.0182564804,0.98124
245,0.0010670724,0.998468,0.0182441578,0.9812
246,0.0010644052,0.998464,0.0182756447,0.98122
247,0.0010620253,0.998464,0.0182826133,0.98138
248,0.0010597363,0.998472,0.0182766302,0.98124
249,0.0010579657,0.998476,0.0182721528,0.98128
250,0.0010564395,0.998472,0.0182935238,0.98116
251,0.0010558069,0.998476,0.0182711574,0.98132
252,0.0010538972,0.998476,0.018293531,0.98142
253,0.0010512498,0.998476,0.0182783586,0.98136
254,0.0010489475,0.99848,0.0183014172,0.98128
255,0.0010473056,0.99848,0.0182977982,0.9813
